ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,밸런스형,모아니면도,150,120,10,122121221,0,5,7
2,공격형,,120,150,10,111222112,0,2,2
3,공격형,,150,120,10,222211111,0,3,8
4,밸런스형,,175,140,10,111222221,0,4,1
5,공격형,발악,450,80,10,212121212,0,1,6
6,공격형,,120,180,20,111222111,1,1,0
7,공격형,,180,120,20,121112121,1,2,0
8,공격형,,140,150,20,211211211,1,3,0
9,방어형,,250,50,20,222112222,1,4,0
10,방어형,,230,80,20,221211222,1,5,0
11,밸런스형,,180,95,20,211222211,1,6,0
12,밸런스형,,170,100,20,121212121,1,7,0
